sku,image 1,image 2,image 3,image 1 result,image 2 result,image 3 result,image 1 confidence,image 2 confidence,image 3 confidence
UTN-S-1163-PINK,https://www.mumzworld.com/media/catalog/product/u/t/utn-s-1163-pink-under-the-nile-swaddle-pack-pink-white-1523513349.jpg,,,NO,ERROR - No image,ERROR - No image,0,0,0
UTN-S-1163-BLUE,https://www.mumzworld.com/media/catalog/product/u/t/utn-s-1163-blue-under-the-nile-swaddle-pack-blue-white-1523513349.jpg,,,NO,ERROR - No image,ERROR - No image,0,0,0
UTN-S-1163-GREEN,https://www.mumzworld.com/media/catalog/product/u/t/utn-s-1163-green-under-the-nile-swaddle-pack-green-white-1523513349.jpg,,,NO,ERROR - No image,ERROR - No image,0,0,0
UTN-I3-1127,https://www.mumzworld.com/media/catalog/product/u/t/utn-i3-1127-under-the-nile-swaddle-blanket-cottontail-1523513349.jpg,,,NO,ERROR - No image,ERROR - No image,0,0,0
GT-CH09208,https://www.mumzworld.com/media/catalog/product/g/t/gt-ch09208-chicco-boy-little-shark-sunglasses-blue-15235346300.jpg,https://www.mumzworld.com/media/catalog/product/g/t/gt-ch09208-chicco-boy-little-shark-sunglasses-blue-1523534630.jpg,,NO,NO,ERROR - No image,0,0,0
BBROO-BBRAMLPRINCE,https://www.mumzworld.com/media/catalog/product/b/b/bbroo-bbramlprince-babybox-little-prince-15245510283.jpg,https://www.mumzworld.com/media/catalog/product/b/b/bbroo-bbramlprince-babybox-little-prince-15245510282.jpg,https://www.mumzworld.com/media/catalog/product/b/b/bbroo-bbramlprince-babybox-little-prince-15245510281.jpg,NO,NO,NO,0,0,0
BBROO-BBRAMBBEDOORED,https://www.mumzworld.com/media/catalog/product/b/b/bbroo-bbrambbedoored-babybox-baby-bedoo-red-15245510282.jpg,https://www.mumzworld.com/media/catalog/product/b/b/bbroo-bbrambbedoored-babybox-baby-bedoo-red-15245510281.jpg,https://www.mumzworld.com/media/catalog/product/b/b/bbroo-bbrambbedoored-babybox-baby-bedoo-red-15245510280.jpg,NO,NO,NO,0,0,0
BBROO-BBRAMBBEDOOBLUE,https://www.mumzworld.com/media/catalog/product/b/b/bbroo-bbrambbedooblue-babybox-baby-bedoo-blue-15245510282.jpg,https://www.mumzworld.com/media/catalog/product/b/b/bbroo-bbrambbedooblue-babybox-baby-bedoo-blue-15245510281.jpg,https://www.mumzworld.com/media/catalog/product/b/b/bbroo-bbrambbedooblue-babybox-baby-bedoo-blue-15245510280.jpg,NO,NO,NO,0,0,0
SAA-2062,https://www.mumzworld.com/media/catalog/product/s/a/saa-2062-aden-anais-classic-swaddle-4pcs-birdsong-15247464863.jpg,https://www.mumzworld.com/media/catalog/product/s/a/saa-2062-aden-anais-classic-swaddle-4pcs-birdsong-15247464862.jpg,https://www.mumzworld.com/media/catalog/product/s/a/saa-2062-aden-anais-classic-swaddle-4pcs-birdsong-15247464861.jpg,NO,NO,NO,0,0,0.4
SAA-6063,https://www.mumzworld.com/media/catalog/product/s/a/saa-6063-aden-anais-classic-dream-blanket-leader-of-the-pack-15247464860.jpg,https://www.mumzworld.com/media/catalog/product/s/a/saa-6063-aden-anais-classic-dream-blanket-leader-of-the-pack-1524746486.jpg,,NO,NO,ERROR - No image,0,0,0
TC-SI-57350,https://www.mumzworld.com/media/catalog/product/t/c/tc-si-57350-new.jpg,https://www.mumzworld.com/media/catalog/product/t/c/tc-si-57350-new1.jpg,https://www.mumzworld.com/media/catalog/product/t/c/tc-si-57350-summer-infant-swaddleme-original-1-pk-small-arrows-up-1525842911.jpg,NO,NO,NO,0,0.8,0.2
SV-UB0138,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0138-little-unicorn-cotton-muslin-swaddle-dino-friends-15259394103.jpg,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0138-little-unicorn-cotton-muslin-swaddle-dino-friends-15259394102.jpg,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0138-little-unicorn-cotton-muslin-swaddle-dino-friends-15259394101.jpg,NO,NO,NO,0,0,0
SV-UB0105,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0105-little-unicorn-cotton-muslin-swaddle-forest-friends-15259394100.jpg,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0105-little-unicorn-cotton-muslin-swaddle-forest-friends-1629001474.jpg,,NO,NO,ERROR - No image,0,0,0
SV-UB0142,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0142-little-unicorn-cotton-muslin-swaddle-narwhal-16242587433.jpg,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0142-little-unicorn-cotton-muslin-swaddle-narwhal-16242587432.jpg,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0142-little-unicorn-cotton-muslin-swaddle-narwhal-16242587431.jpg,NO,NO,NO,0,0,0
SV-UB0134,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0134-little-unicorn-cotton-muslin-swaddle-planetary-16242587438.jpg,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0134-little-unicorn-cotton-muslin-swaddle-planetary-16242587437.jpg,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0134-little-unicorn-cotton-muslin-swaddle-planetary-16242587436.jpg,NO,NO,NO,0,0,0
SV-UB0152,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0152-little-unicorn-cotton-muslin-swaddle-tropical-leaf-16242587445.jpg,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0152-little-unicorn-cotton-muslin-swaddle-tropical-leaf-16242587444.jpg,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0152-little-unicorn-cotton-muslin-swaddle-tropical-leaf-16242587443.jpg,NO,NO,NO,0,0,0
SV-UB0508,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0508-little-unicorn-bamboo-deluxe-swaddle-blue-windflower-16242587444.jpg,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0508-little-unicorn-bamboo-deluxe-swaddle-blue-windflower-16242587443.jpg,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0508-little-unicorn-bamboo-deluxe-swaddle-blue-windflower-16242587442.jpg,NO,NO,NO,0,0,0
SV-UB0510,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0510-1.jpg,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0510-.jpg,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0510-little-unicorn-deluxe-swaddle-pineapple-15259394110.jpg,NO,NO,NO,0,0,0
SV-UB0511,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0511-little-unicorn-bamboo-deluxe-swaddle-pink-ladies-16242587445.jpg,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0511-little-unicorn-bamboo-deluxe-swaddle-pink-ladies-16242587444.jpg,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0511-little-unicorn-bamboo-deluxe-swaddle-pink-ladies-16242587443.jpg,NO,NO,NO,0,0,0
SV-UB0506,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0506-little-unicorn-bamboo-deluxe-swaddle-pink-peony-16242587442.jpg,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0506-little-unicorn-bamboo-deluxe-swaddle-pink-peony-16242587441.jpg,https://www.mumzworld.com/media/catalog/product/u/b/ub0506-1.jpeg,NO,NO,NO,0,0,0
SV-UB0007,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0007-little-unicorn-3pk-cotton-muslin-swaddle-set-berry-lemonade-15259394111.jpg,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0007-little-unicorn-3pk-cotton-muslin-swaddle-set-berry-lemonade-1629001474.jpg,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0007.jpg,NO,NO,NO,0.8,0.8,0
SV-UB0405,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0405-little-unicorn-2pk-deluxe-muslin-swaddle-set-pink-ladies-15259394110.jpg,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0405-little-unicorn-2pk-deluxe-muslin-swaddle-set-pink-ladies-1525939411.jpg,,NO,NO,ERROR - No image,0.8,0,0
SV-UB0216,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0216-little-unicorn-cotton-muslin-quilt-planetary-15259394116.jpg,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0216-little-unicorn-cotton-muslin-quilt-planetary-15259394115.jpg,https://www.mumzworld.com/media/catalog/product/s/v/sv-ub0216-little-unicorn-cotton-muslin-quilt-planetary-15259394114.jpg,NO,NO,NO,0,0,0
OPL-17153016-RBW-0-3M,https://www.mumzworld.com/media/catalog/product/1/7/17153016-rbw-back_preview_1.jpg,https://www.mumzworld.com/media/catalog/product/1/7/17153016-rbw_preview_1.jpg,,NO,NO,ERROR - No image,0,0,0
OPL-17153016-RBW-3-6M,https://www.mumzworld.com/media/catalog/product/1/7/17153016-rbw-back_preview_1_1.jpg,https://www.mumzworld.com/media/catalog/product/1/7/17153016-rbw_preview_1_1.jpg,,NO,NO,ERROR - No image,0,0,0
OPL-17153016-RBW-6-12M,https://www.mumzworld.com/media/catalog/product/1/7/17153016-rbw-back_preview_1_1_1.jpg,https://www.mumzworld.com/media/catalog/product/1/7/17153016-rbw_preview_1_1_1.jpg,,NO,NO,ERROR - No image,0,0,0
OPL-17153016-RBW-12-18M,https://www.mumzworld.com/media/catalog/product/1/7/17153016-rbw-back_preview_1_1_1_1.jpg,https://www.mumzworld.com/media/catalog/product/1/7/17153016-rbw_preview_1_1_1_1.jpg,,NO,NO,ERROR - No image,0,0,0
